date,time,home_team,home_score,away_team,away_score,margin
2025-05-23,18:30,삼성,7.0,KIA,6.0,1.0
2025-05-23,18:30,키움,7.0,KT,5.0,2.0
2025-05-23,18:30,한화,4.0,롯데,2.0,2.0
2025-05-24,14:00,키움,10.0,KT,4.0,6.0
2025-05-24,14:00,한화,8.0,롯데,6.0,2.0
2025-05-24,17:00,두산,5.0,NC,1.0,4.0
2025-05-24,17:00,SSG,5.0,LG,4.0,1.0
2025-05-24,17:00,삼성,8.0,KIA,4.0,4.0
2025-05-25,14:00,두산,5.0,NC,3.0,2.0
2025-05-25,14:00,SSG,9.0,LG,3.0,6.0
2025-05-25,14:00,삼성,3.0,KIA,2.0,1.0
2025-05-25,14:00,키움,2.0,KT,0.0,2.0
2025-05-25,14:00,한화,8.0,롯데,7.0,1.0
2025-05-27,18:30,LG,2.0,한화,1.0,1.0
2025-05-27,18:30,SSG,,NC,,
2025-05-27,18:30,삼성,7.0,롯데,3.0,4.0
2025-05-27,18:30,KT,2.0,두산,1.0,1.0
2025-05-27,18:30,KIA,7.0,키움,5.0,2.0
2025-05-28,18:30,LG,6.0,한화,5.0,1.0
2025-05-28,18:30,SSG,13.0,NC,5.0,8.0
2025-05-28,18:30,삼성,,롯데,,
2025-05-28,18:30,KT,12.0,두산,3.0,9.0
2025-05-28,18:30,KIA,13.0,키움,7.0,6.0
2025-05-29,18:30,LG,3.0,한화,1.0,2.0
2025-05-29,18:30,SSG,6.0,NC,5.0,1.0
2025-05-29,18:30,삼성,9.0,롯데,3.0,6.0
2025-05-29,18:30,KT,12.0,두산,2.0,10.0
2025-05-29,18:30,KIA,,키움,,
2025-05-30,18:30,LG,4.0,삼성,3.0,1.0
2025-05-30,18:30,롯데,6.0,SSG,5.0,1.0
2025-05-30,18:30,NC,7.0,한화,1.0,6.0
2025-05-30,18:30,KT,3.0,KIA,1.0,2.0
2025-05-30,18:30,키움,9.0,두산,4.0,5.0
2025-05-31,14:00,NC,9.0,한화,6.0,3.0
2025-05-31,14:00,KT,5.0,KIA,1.0,4.0
2025-05-31,17:00,LG,4.0,삼성,2.0,2.0
2025-05-31,17:00,롯데,4.0,SSG,1.0,3.0
2025-05-31,17:00,키움,1.0,두산,0.0,1.0
2025-06-01,14:00,키움,1.0,두산,0.0,1.0
2025-06-01,17:00,LG,6.0,삼성,4.0,2.0
2025-06-01,17:00,롯데,4.0,SSG,3.0,1.0
2025-06-01,17:00,NC,16.0,한화,5.0,11.0
2025-06-01,17:00,KT,5.0,KIA,3.0,2.0
2025-06-03,14:00,NC,15.0,LG,0.0,15.0
2025-06-03,14:00,한화,10.0,KT,1.0,9.0
2025-06-03,17:00,두산,11.0,KIA,3.0,8.0
2025-06-03,17:00,SSG,6.0,삼성,4.0,2.0
2025-06-03,17:00,롯데,8.0,키움,0.0,8.0
2025-06-04,18:30,두산,8.0,KIA,3.0,5.0
2025-06-04,18:30,SSG,4.0,삼성,1.0,3.0
2025-06-04,18:30,롯데,9.0,키움,6.0,3.0
2025-06-04,18:30,NC,6.0,LG,5.0,1.0
2025-06-04,18:30,한화,4.0,KT,3.0,1.0
2025-06-05,18:30,두산,2.0,KIA,1.0,1.0
2025-06-05,18:30,SSG,3.0,삼성,1.0,2.0
2025-06-05,18:30,롯데,10.0,키움,5.0,5.0
2025-06-05,18:30,NC,3.0,LG,1.0,2.0
2025-06-05,18:30,한화,7.0,KT,0.0,7.0
2025-06-06,17:00,두산,5.0,롯데,2.0,3.0
2025-06-06,17:00,삼성,7.0,NC,3.0,4.0
2025-06-06,17:00,KT,10.0,SSG,3.0,7.0
2025-06-06,17:00,KIA,3.0,한화,2.0,1.0
2025-06-06,17:00,키움,2.0,LG,1.0,1.0
2025-06-07,17:00,두산,9.0,롯데,4.0,5.0
2025-06-07,17:00,삼성,11.0,NC,7.0,4.0
2025-06-07,17:00,KT,3.0,SSG,2.0,1.0
2025-06-07,17:00,KIA,3.0,한화,2.0,1.0
2025-06-07,17:00,키움,4.0,LG,1.0,3.0
2025-06-08,14:00,키움,7.0,LG,2.0,5.0
2025-06-08,17:00,두산,4.0,롯데,2.0,2.0
